,SEX,AGEGRP,REGION,REFILL_COUNT,ADMTYP,Total Knee Arthrolplasty,OSTEOARTHROSIS secondary lower leg,Removal of Foreign Body from Eye,Total Knee Replacement,OSTEOARTHROSIS primary lower leg,OSTEOARTHROSIS generalized lower leg,TOTAL HIP ANTHROPLASTY,FASCIOLOPSIASIS,TOTAL HIP REPLACEMENT,Medicine
SEX,1.0,0.008660829296836186,0.012525706829910232,0.008005209802948198,0.027817086162028805,0.008593660544143416,0.014986050499558784,6.806324492252161e-05,0.01142585223234935,0.020674254524350472,0.018396700874786707,0.001472437439923743,0.001472437439923743,0.001472437439923743,0.07682449526483418
AGEGRP,0.008660829296836186,1.0,0.004526472503759151,0.008981648800801175,0.07368293955685086,0.10382461679900813,0.09702137386393828,0.10597340699351013,0.10561782735129253,0.07275107253688023,0.05962691476863476,0.00975503808844931,0.00975503808844931,0.00975503808844931,0.003046921734540494
REGION,0.012525706829910232,0.004526472503759151,1.0,0.04587737170878094,0.04969657610240244,0.004129811417243249,0.004976178649238305,0.001804969157253557,0.004328836498828373,0.013064473291074557,0.007094789404464191,0.002324181981169484,0.002324181981169484,0.002324181981169484,0.05504557717810889
REFILL_COUNT,0.008005209802948198,0.008981648800801175,0.04587737170878094,1.0,0.06288236384245753,0.02735251074979174,0.011802929647147391,0.02743726826529338,0.025673344354446993,0.025331003143622403,0.05157673508574385,0.008514221904504116,0.008514221904504116,0.008514221904504116,0.2225556713317476
ADMTYP,0.027817086162028805,0.07368293955685086,0.04969657610240244,0.06288236384245753,1.0,0.02913817033437978,0.02722977159377651,0.029764847915745664,0.030856013945380466,0.01637773269803078,0.022021081942989712,0.0038611881736540497,0.0038611881736540497,0.0038611881736540497,0.41944486485744004
Total Knee Arthrolplasty,0.008593660544143416,0.10382461679900813,0.004129811417243249,0.02735251074979174,0.02913817033437978,1.0,0.7658571391620471,0.8482214583635102,0.9355095677506413,0.49716144792544903,0.5530871125090145,0.003939320970795652,0.003939320970795652,0.003939320970795652,0.021719863971012714
OSTEOARTHROSIS secondary lower leg,0.014986050499558784,0.09702137386393828,0.004976178649238305,0.011802929647147391,0.02722977159377651,0.7658571391620471,1.0,0.6847000418965394,0.7978695702128393,0.3880817464376312,0.4370730889004317,0.0036813159178636676,0.0036813159178636676,0.0036813159178636676,0.014965652708596214
Removal of Foreign Body from Eye,6.806324492252161e-05,0.10597340699351013,0.001804969157253557,0.02743726826529338,0.029764847915745664,0.8482214583635102,0.6847000418965394,1.0,0.8177105174602523,0.4601046903750961,0.5332475672539523,0.004024044346008454,0.004024044346008454,0.004024044346008454,0.02309583822537151
Total Knee Replacement,0.01142585223234935,0.10561782735129253,0.004328836498828373,0.025673344354446993,0.030856013945380466,0.9355095677506413,0.7978695702128393,0.8177105174602523,1.0,0.5000237508220099,0.5907617009267052,0.004171564014326978,0.004171564014326978,0.004171564014326978,0.024570124383532548
OSTEOARTHROSIS primary lower leg,0.020674254524350472,0.07275107253688023,0.013064473291074557,0.025331003143622403,0.01637773269803078,0.49716144792544903,0.3880817464376312,0.4601046903750961,0.5000237508220099,1.0,0.012627883150824436,0.0022141797213456977,0.0022141797213456977,0.0022141797213456977,0.07916594029822366
OSTEOARTHROSIS generalized lower leg,0.018396700874786707,0.05962691476863476,0.007094789404464191,0.05157673508574385,0.022021081942989712,0.5530871125090145,0.4370730889004317,0.5332475672539523,0.5907617009267052,0.012627883150824436,1.0,0.0029771296173418844,0.0029771296173418844,0.0029771296173418844,0.11051965850256948
TOTAL HIP ANTHROPLASTY,0.001472437439923743,0.00975503808844931,0.002324181981169484,0.008514221904504116,0.0038611881736540497,0.003939320970795652,0.0036813159178636676,0.004024044346008454,0.004171564014326978,0.0022141797213456977,0.0029771296173418844,1.0,1.0,1.0,0.05670664744096038
FASCIOLOPSIASIS,0.001472437439923743,0.00975503808844931,0.002324181981169484,0.008514221904504116,0.0038611881736540497,0.003939320970795652,0.0036813159178636676,0.004024044346008454,0.004171564014326978,0.0022141797213456977,0.0029771296173418844,1.0,1.0,1.0,0.05670664744096038
TOTAL HIP REPLACEMENT,0.001472437439923743,0.00975503808844931,0.002324181981169484,0.008514221904504116,0.0038611881736540497,0.003939320970795652,0.0036813159178636676,0.004024044346008454,0.004171564014326978,0.0022141797213456977,0.0029771296173418844,1.0,1.0,1.0,0.05670664744096038
Medicine,0.07682449526483418,0.003046921734540494,0.05504557717810889,0.2225556713317476,0.41944486485744004,0.021719863971012714,0.014965652708596214,0.02309583822537151,0.024570124383532548,0.07916594029822366,0.11051965850256948,0.05670664744096038,0.05670664744096038,0.05670664744096038,1.0
